+----------------------------------+------------------------------------------------------------------------+---------+----------+----------+--------------------------------------------------------------+------------------------------------------------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                                                                                                 |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                                                                                         |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                                                                                                       |
| *** ALSO ***                                                                                                                                                                                                                                                                                                    |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                                                                                                       |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                                                                                                        |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                                                                                                       |
+----------------------------------+------------------------------------------------------------------------+---------+----------+----------+--------------------------------------------------------------+------------------------------------------------------------------------------------------------------+
| Mod name                         | Registry name                                                          | Item ID | Meta/dmg | Subtypes | Display name                                                 | Ore Dict keys                                                                                        |
+----------------------------------+------------------------------------------------------------------------+---------+----------+----------+--------------------------------------------------------------+------------------------------------------------------------------------------------------------------+
| AEble                            | aeble:air_ring                                                         |    5610 |        0 |    false | Air Ring                                                     |                                                                                                      |
| AEble                            | aeble:bubble_ring                                                      |    5609 |        0 |    false | Bubble Ring                                                  |                                                                                                      |
| AEble                            | aeble:ice_ring                                                         |    5614 |        0 |    false | Ice Ring                                                     |                                                                                                      |
| AEble                            | aeble:luck_belt                                                        |    5613 |        0 |    false | Luck Belt                                                    |                                                                                                      |
| AEble                            | aeble:obsidian_ring                                                    |    5615 |        0 |    false | Obsidian Ring                                                |                                                                                                      |
| AEble                            | aeble:regeneration_ring                                                |    5612 |        0 |    false | Regeneration Ring                                            |                                                                                                      |
| AEble                            | aeble:repulsion_belt                                                   |    5611 |        0 |    false | Repulsion Belt                                               |                                                                                                      |
| AEble                            | aeble:valkyrie_belt                                                    |    5617 |        0 |    false | Valkyrie Belt                                                |                                                                                                      |
| AEble                            | aeble:zanite_ring                                                      |    5616 |        0 |    false | Zanite Ring                                                  |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:blazing_fishing_pole                                  |    5602 |        0 |    false | Blazing Fishing Pole                                         |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |        0 |     true | Jellyfish                                                    |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |        1 |     true | Magma Jellyfish                                              |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |        2 |     true | Mud Tuna                                                     |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |        3 |     true | Frost Minnow                                                 |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |        4 |     true | Piranha                                                      |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |        5 |     true | Golden Koi                                                   |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |        6 |     true | Specular Snapper                                             |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |        7 |     true | Cave Trout                                                   |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |        8 |     true | Obsidian Bream                                               |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |        9 |     true | Nether Sturgeon                                              |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       10 |     true | Quartz Chub                                                  |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       11 |     true | Flarefin Koi                                                 |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       12 |     true | Blaze Pike                                                   |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       13 |     true | Ender Shad                                                   |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       14 |     true | Pearl Sardine                                                |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       15 |     true | Chorus Koi                                                   |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       16 |     true | Explosive Crucian                                            |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       17 |     true | Ruffe                                                        |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       18 |     true | Sparkling Eel                                                |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       19 |     true | Angelfish                                                    |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       20 |     true | Angler Fish                                                  |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       21 |     true | Sponge Eater                                                 |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       22 |     true | Snowy Walleye                                                |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       23 |     true | Squid                                                        |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       24 |     true | Withered Crucian                                             |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       25 |     true | Sandy Bass                                                   |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       26 |     true | Mandarinfish                                                 |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       27 |     true | Red Shroomfin                                                |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       28 |     true | Brown Shroomfin                                              |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       29 |     true | Fungi Catfish                                                |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       30 |     true | Swamp Plaice                                                 |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       31 |     true | Crystal Mullet                                               |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       32 |     true | Charged Bullhead                                             |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       33 |     true | Abyssal Lurker                                               |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       34 |     true | Sunfish                                                      |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       35 |     true | Glacier Anchovy                                              |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       36 |     true | Brown Catfish                                                |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       37 |     true | Pike                                                         |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       38 |     true | Magikarp                                                     |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       39 |     true | Green Jellyfish                                              |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       40 |     true | Bonefish                                                     |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       41 |     true | Cursed Koi                                                   |                                                                                                      |
| Advanced Fishing                 | advanced-fishing:fish                                                  |    5603 |       42 |     true | Spookyfin                                                    |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:advanced_blowing_elevator                       |    4115 |        0 |    false | Advanced Blowing Elevator                                    |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:advanced_ender_elevator                         |    4118 |        0 |    false | Advanced Ender Elevator                                      |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:advanced_rotor                                  |    4098 |        0 |    false | Advanced Rotor                                               |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:blowing_elevator                                |    4114 |        0 |    false | Blowing Elevator                                             |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_acacia_stairs                            |    4110 |        0 |    false | Double Acacia Wood Stairs                                    |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_birch_stairs                             |    4107 |        0 |    false | Double Birch Wood Stairs                                     |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_brick_stairs                             |    4102 |        0 |    false | Double Brick Stairs                                          |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_cobblestone_stairs                       |    4101 |        0 |    false | Double Cobblestone Stairs                                    |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_dark_oak_stairs                          |    4111 |        0 |    false | Double Dark Oak Wood Stairs                                  |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_jungle_stairs                            |    4108 |        0 |    false | Double Jungle Wood Stairs                                    |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_nether_brick_stairs                      |    4104 |        0 |    false | Double Nether Brick Stairs                                   |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_oak_stairs                               |    4100 |        0 |    false | Double Oak Wood Stairs                                       |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_purpur_stairs                            |    4113 |        0 |    false | Double Purpur Stairs                                         |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_quartz_stairs                            |    4109 |        0 |    false | Double Quartz Stairs                                         |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_red_sandstone_stairs                     |    4112 |        0 |    false | Double Red Sandstone Stairs                                  |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_sandstone_stairs                         |    4105 |        0 |    false | Double Sandstone Stairs                                      |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_spruce_stairs                            |    4106 |        0 |    false | Double Spruce Wood Stairs                                    |                                                                                                      |
| Advanced Lifting Methods         | advancedliftingmethods:double_stone_brick_stairs                       |    4103 |        0 |    false | Double Stone Brick Stairs                                    |                                                                                                      |
