+----------------------------------+------------------------------------------+-----------------------------------------+-----+-------------------------+--------+---------------+
| Mod name                         | Registry name                            | Potion Name                             |  ID | Liquid color            | Is bad | Is beneficial |
+----------------------------------+------------------------------------------+-----------------------------------------+-----+-------------------------+--------+---------------+
| Ancient Beasts                   | ancientbeasts:ghostly                    | potion.ghostly                          |  50 | 0x0016ACB6 (   1486006) |  false |         false |
| Ancient Beasts                   | ancientbeasts:possessed                  | potion.possessed                        |  49 | 0x0016ACB6 (   1486006) |   true |         false |
| Ancient Beasts                   | ancientbeasts:rifted                     | potion.rifted                           |  51 | 0x0060AB5A (   6335322) |  false |         false |
| Ancient Beasts                   | ancientbeasts:shielded                   | potion.shielded                         |  48 | 0x00000000 (         0) |  false |         false |
| Better Combat                    | bettercombat:aetherealized               | bettercombat.effect.aetherealized       | 135 | 0x0079F6F0 (   7993072) |  false |         false |
| Better Combat                    | bettercombat:bleeding                    | bettercombat.effect.bleeding            | 138 | 0x00FF6066 (  16736358) |  false |         false |
| Better Combat                    | bettercombat:brutality                   | bettercombat.effect.brutality           | 137 | 0x00F66066 (  16146534) |  false |         false |
| Better Combat                    | bettercombat:precision                   | bettercombat.effect.precision           | 136 | 0x00F6F066 (  16183398) |  false |         false |
| Better With Mods                 | betterwithmods:fortune                   | bwm.effect.fortune                      |  63 | 0x00D9C043 (  14270531) |  false |         false |
| Better With Mods                 | betterwithmods:looting                   | bwm.effect.looting                      |  64 | 0x00D9C043 (  14270531) |  false |         false |
| Better With Mods                 | betterwithmods:slow_fall                 | bwm.effect.slow_fall                    |  65 | 0x00F46F20 (  16019232) |  false |         false |
| Better With Mods                 | betterwithmods:true_sight                | bwm.effect.true_sight                   |  62 | 0x00D9C043 (  14270531) |  false |         false |
| Better with Addons               | betterwithaddons:boss                    | Boss                                    |  72 | 0xFF000000 ( -16777216) |  false |         false |
| Better with Addons               | betterwithaddons:cannonball              | Cannonball                              |  73 | 0xFFFFAFAF (    -20561) |  false |         false |
| Better with Addons               | betterwithaddons:electrified             | Electrified                             |  74 | 0xFF7EFFAA (  -8454230) |   true |         false |
| Better with Addons               | betterwithaddons:tarred                  | Tarred                                  |  75 | 0xFF402D37 ( -12571337) |   true |         false |
| Biomes O' Plenty                 | biomesoplenty:curse                      | potion.curse                            |   0 | 0x0004A5EA (    304618) |   true |         false |
| Bountiful Baubles                | bountifulbaubles:sinful                  | bountifulbaubles.effect.sinful          | 208 | 0x00101317 (   1053463) |  false |         false |
| Champions                        | champions:injured                        | champions.injured                       |  78 | 0x008D0037 (   9240631) |   true |         false |
| Champions                        | champions:jailed                         | champions.jailed                        |  76 | 0x00000000 (         0) |   true |         false |
| Champions                        | champions:plague                         | champions.plague                        |  77 | 0x001F3B14 (   2046740) |   true |         false |
| DungeonTactics                   | dungeontactics:cryo_effect               | effect.dungeontactics:cryo_effect       |  28 | 0x00000001 (         1) |   true |         false |
| Dynamic Stealth                  | dynamicstealth:soulsight                 | dynamicstealth.soulsight                |  79 | 0x00FFFF55 (  16777045) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:arcane_jammer                 | potion.ebwizardry:arcane_jammer         |  87 | 0x00CF4AA2 (  13585058) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:containment                   | potion.ebwizardry:containment           | 100 | 0x007988CC (   7964876) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:curse_of_enfeeblement         | potion.ebwizardry:curse_of_enfeeblement |  98 | 0x0036000B (   3538955) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:curse_of_soulbinding          | potion.ebwizardry:curse_of_soulbinding  |  92 | 0x000F000F (    983055) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:curse_of_undeath              | potion.ebwizardry:curse_of_undeath      |  99 | 0x00685C00 (   6839296) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:decay                         | potion.ebwizardry:decay                 |  85 | 0x003C006C (   3932268) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:diamondflesh                  | potion.ebwizardry:diamondflesh          | 106 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:empowerment                   | potion.ebwizardry:empowerment           |  97 | 0x008367BD (   8611773) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:fear                          | potion.ebwizardry:fear                  |  91 | 0x00BD0100 (  12386560) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:fireskin                      | potion.ebwizardry:fireskin              |  82 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:font_of_mana                  | potion.ebwizardry:font_of_mana          |  90 | 0x00FFE5BB (  16770491) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:frost                         | potion.ebwizardry:frost                 |  80 | 0x00000000 (         0) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:frost_step                    | potion.ebwizardry:frost_step            | 101 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:ice_shroud                    | potion.ebwizardry:ice_shroud            |  83 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:ironflesh                     | potion.ebwizardry:ironflesh             | 105 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:mark_of_sacrifice             | potion.ebwizardry:mark_of_sacrifice     | 102 | 0x00E90E48 (  15273544) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:mind_control                  | potion.ebwizardry:mind_control          |  89 | 0x00320B44 (   3279684) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:mind_trick                    | potion.ebwizardry:mind_trick            |  88 | 0x00601683 (   6297219) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:mirage                        | potion.ebwizardry:mirage                | 103 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:muffle                        | potion.ebwizardry:muffle                |  94 | 0x004464D9 (   4482265) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:oakflesh                      | potion.ebwizardry:oakflesh              | 104 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:paralysis                     | potion.ebwizardry:paralysis             |  93 | 0x00000000 (         0) |   true |         false |
| Electroblob's Wizardry           | ebwizardry:sixth_sense                   | potion.ebwizardry:sixth_sense           |  86 | 0x00C6FF01 (  13041409) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:slow_time                     | potion.ebwizardry:slow_time             |  96 | 0x005BE3BB (   6022075) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:static_aura                   | potion.ebwizardry:static_aura           |  84 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:transience                    | potion.ebwizardry:transience            |  81 | 0x00000000 (         0) |  false |          true |
| Electroblob's Wizardry           | ebwizardry:ward                          | potion.ebwizardry:ward                  |  95 | 0x00C991D0 (  13210064) |  false |          true |
| Elenai Dodge                     | elenaidodge:can_dodge                    | effect.can_dodge                        |  29 | 0x002F579F (   3102623) |  false |         false |
| Elenai Dodge                     | elenaidodge:can_dodge_airborne           | effect.can_dodge_airborne               |  30 | 0x00D26FC5 (  13791173) |  false |         false |
| Elenai Dodge                     | elenaidodge:cannot_dodge                 | effect.cannot_dodge                     |  31 | 0x00E3ABF2 (  14920690) |   true |         false |
| Extra Alchemy                    | extraalchemy:effect.beheading            | effect.beheading                        | 130 | 0x008D5F07 (   9264903) |   true |         false |
| Extra Alchemy                    | extraalchemy:effect.charged              | effect.charged                          | 122 | 0x00750094 (   7667860) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.charged2             | effect.charged2                         | 123 | 0x00FF00DB (  16711899) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.cheatdeath_active    | effect.cheatDeath_active                | 121 | 0xFF0800FF ( -16252673) |   true |         false |
| Extra Alchemy                    | extraalchemy:effect.cheatdeath_quiescent | effect.cheatDeath_quiescent             | 120 | 0xFF0800FF ( -16252673) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.combustion           | effect.combustion                       | 125 | 0x00F96501 (  16344321) |   true |         false |
| Extra Alchemy                    | extraalchemy:effect.concentration        | effect.concentration                    | 116 | 0x00C8C5E5 (  13157861) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.crumbling            | effect.crumbling                        | 115 | 0x00A18F58 (  10587992) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.dislocation          | effect.dislocation                      | 111 | 0x009361B5 (   9658805) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.dispel               | effect.dispel                           | 131 | 0x00105955 (   1071445) |   true |         false |
| Extra Alchemy                    | extraalchemy:effect.freezing             | effect.freezing                         | 110 | 0x00C0E1F0 (  12640752) |   true |         false |
| Extra Alchemy                    | extraalchemy:effect.fuse                 | effect.fuse                             | 107 | 0x00FF0000 (  16711680) |   true |         false |
| Extra Alchemy                    | extraalchemy:effect.gravity              | effect.gravity                          | 127 | 0x00815D09 (   8477961) |   true |         false |
| Extra Alchemy                    | extraalchemy:effect.hurry                | effect.hurry                            | 119 | 0x008DC63F (   9291327) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.learning             | effect.learning                         | 126 | 0x00D5FF39 (  14024505) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.leech                | effect.leech                            | 128 | 0x003E3E3E (   4079166) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.magnetism            | effect.magnetism                        | 112 | 0x00C7C7C7 (  13092807) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.pacifism             | effect.pacifism                         | 114 | 0x00FEFFE7 (  16711655) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.pain                 | effect.pain                             | 132 | 0x004D4213 (   5063187) |   true |         false |
| Extra Alchemy                    | extraalchemy:effect.photosynthesis       | effect.photosynthesis                   | 118 | 0x0000BB00 (     47872) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.piper                | effect.piper                            | 113 | 0x00FFDF9F (  16768927) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.pull                 | effect.pull                             | 134 | 0x0023D670 (   2348656) |   true |         false |
| Extra Alchemy                    | extraalchemy:effect.push                 | effect.push                             | 133 | 0x0023D6C9 (   2348745) |   true |         false |
| Extra Alchemy                    | extraalchemy:effect.recall               | effect.recall                           | 108 | 0x00FFF200 (  16773632) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.reincarnation        | effect.reincarnation                    | 124 | 0x00D3FFCE (  13893582) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.return               | effect.return                           | 117 | 0x00D05585 (  13653381) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.sails                | effect.sails                            | 129 | 0x009BD8FF (  10213631) |  false |          true |
| Extra Alchemy                    | extraalchemy:effect.sinking              | effect.sinking                          | 109 | 0x0000BFA5 (     49061) |   true |         false |
| Hunger Overhaul                  | hungeroverhaul:wellfed                   | potion.wellfed                          | 328 | 0x00000000 (         0) |  false |         false |
| Minecraft                        | minecraft:absorption                     | effect.absorption                       |  22 | 0x002552A5 (   2445989) |  false |          true |
| Minecraft                        | minecraft:blindness                      | effect.blindness                        |  15 | 0x001F1F23 (   2039587) |   true |         false |
| Minecraft                        | minecraft:fire_resistance                | effect.fireResistance                   |  12 | 0x00E49A3A (  14981690) |  false |          true |
| Minecraft                        | minecraft:glowing                        | effect.glowing                          |  24 | 0x0094A061 (   9740385) |  false |         false |
| Minecraft                        | minecraft:haste                          | effect.digSpeed                         |   3 | 0x00D9C043 (  14270531) |  false |          true |
| Minecraft                        | minecraft:health_boost                   | effect.healthBoost                      |  21 | 0x00F87D23 (  16284963) |  false |          true |
| Minecraft                        | minecraft:hunger                         | effect.hunger                           |  17 | 0x00587653 (   5797459) |   true |         false |
| Minecraft                        | minecraft:instant_damage                 | effect.harm                             |   7 | 0x00430A09 (   4393481) |   true |          true |
| Minecraft                        | minecraft:instant_health                 | effect.heal                             |   6 | 0x00F82423 (  16262179) |  false |          true |
| Minecraft                        | minecraft:invisibility                   | effect.invisibility                     |  14 | 0x007F8392 (   8356754) |  false |          true |
| Minecraft                        | minecraft:jump_boost                     | effect.jump                             |   8 | 0x0022FF4C (   2293580) |  false |          true |
| Minecraft                        | minecraft:levitation                     | effect.levitation                       |  25 | 0x00CEFFFF (  13565951) |   true |         false |
| Minecraft                        | minecraft:luck                           | effect.luck                             |  26 | 0x00339900 (   3381504) |  false |          true |
| Minecraft                        | minecraft:mining_fatigue                 | effect.digSlowDown                      |   4 | 0x004A4217 (   4866583) |   true |         false |
| Minecraft                        | minecraft:nausea                         | effect.confusion                        |   9 | 0x00551D4A (   5578058) |   true |         false |
| Minecraft                        | minecraft:night_vision                   | effect.nightVision                      |  16 | 0x001F1FA1 (   2039713) |  false |          true |
| Minecraft                        | minecraft:poison                         | effect.poison                           |  19 | 0x004E9331 (   5149489) |   true |         false |
| Minecraft                        | minecraft:regeneration                   | effect.regeneration                     |  10 | 0x00CD5CAB (  13458603) |  false |          true |
| Minecraft                        | minecraft:resistance                     | effect.resistance                       |  11 | 0x0099453A (  10044730) |  false |          true |
| Minecraft                        | minecraft:saturation                     | effect.saturation                       |  23 | 0x00F82423 (  16262179) |  false |          true |
| Minecraft                        | minecraft:slowness                       | effect.moveSlowdown                     |   2 | 0x005A6C81 (   5926017) |   true |         false |
| Minecraft                        | minecraft:speed                          | effect.moveSpeed                        |   1 | 0x007CAFC6 (   8171462) |  false |          true |
| Minecraft                        | minecraft:strength                       | effect.damageBoost                      |   5 | 0x00932423 (   9643043) |  false |          true |
| Minecraft                        | minecraft:unluck                         | effect.unluck                           |  27 | 0x00C0A44D (  12624973) |   true |         false |
| Minecraft                        | minecraft:water_breathing                | effect.waterBreathing                   |  13 | 0x002E5299 (   3035801) |  false |          true |
| Minecraft                        | minecraft:weakness                       | effect.weakness                         |  18 | 0x00484D48 (   4738376) |   true |         false |
| Minecraft                        | minecraft:wither                         | effect.wither                           |  20 | 0x00352A27 (   3484199) |   true |         false |
| Mowzie's Mobs                    | mowziesmobs:frozen                       | potion.frozen                           | 141 | 0x00D8E7FF (  14215167) |  false |         false |
| Mowzie's Mobs                    | mowziesmobs:geomancy                     | potion.geomancy                         | 140 | 0x00CDFF78 (  13500280) |  false |         false |
| Mowzie's Mobs                    | mowziesmobs:poison_resist                | potion.poisonResist                     | 142 | 0x0066FF33 (   6750003) |  false |         false |
| Mowzie's Mobs                    | mowziesmobs:suns_blessing                | potion.sunsBlessing                     | 139 | 0x00FFDF42 (  16768834) |  false |         false |
| NetherEx                         | netherex:crying                          | mob_effect.netherex:crying              | 146 | 0xFF673E7C ( -10011012) |   true |         false |
| NetherEx                         | netherex:fire_burning                    | mob_effect.netherex:fire_burning        | 147 | 0xFF000000 ( -16777216) |   true |         false |
| NetherEx                         | netherex:frostbitten                     | mob_effect.netherex:frostbitten         | 144 | 0xFF13E2FF ( -15473921) |   true |         false |
| NetherEx                         | netherex:frozen                          | mob_effect.netherex:frozen              | 143 | 0xFF5DBCD2 ( -10634030) |   true |         false |
| NetherEx                         | netherex:infested                        | mob_effect.netherex:infested            | 145 | 0xFF8E6028 (  -7446488) |   true |         false |
| NetherEx                         | netherex:soul_sucked                     | mob_effect.netherex:soul_sucked         | 148 | 0xFFBC5DC8 (  -4432440) |   true |         false |
| Nutrition                        | nutrition:malnourished                   | potion.nutrition:malnourished           | 211 | 0x00000000 (         0) |  false |         false |
| Nutrition                        | nutrition:nourished                      | potion.nutrition:nourished              | 210 | 0x00000000 (         0) |  false |         false |
| Nutrition                        | nutrition:toughness                      | potion.nutrition:toughness              | 209 | 0x00000000 (         0) |  false |          true |
| Paraglider                       | paraglider:ascending                     | ascending                               | 149 | 0x00FFFFFF (  16777215) |  false |         false |
| Potion Core                      | potioncore:antidote                      | effect.antidote                         | 187 | 0x0000CC99 (     52377) |  false |          true |
| Potion Core                      | potioncore:archery                       | effect.archery                          | 191 | 0x00995500 (  10048768) |  false |          true |
| Potion Core                      | potioncore:bless                         | effect.bless                            | 183 | 0x0066CCFF (   6737151) |  false |          true |
| Potion Core                      | potioncore:broken_armor                  | effect.broken_armor                     | 184 | 0x00A17F7A (  10583930) |   true |         false |
| Potion Core                      | potioncore:broken_magic_shield           | effect.broken_magic_shield              | 155 | 0x00A80B60 (  11012960) |   true |         false |
| Potion Core                      | potioncore:burst                         | effect.burst                            | 190 | 0x00666666 (   6710886) |  false |          true |
| Potion Core                      | potioncore:chance                        | effect.chance                           | 176 | 0x000000FF (       255) |  false |          true |
| Potion Core                      | potioncore:climb                         | effect.climb                            | 167 | 0x00CC5500 (  13391104) |  false |          true |
| Potion Core                      | potioncore:cure                          | effect.cure                             | 163 | 0x00FF55FF (  16733695) |  false |          true |
| Potion Core                      | potioncore:curse                         | effect.curse                            | 189 | 0x00000000 (         0) |   true |         false |
| Potion Core                      | potioncore:diamond_skin                  | effect.diamond_skin                     | 159 | 0x002BD8F0 (   2873584) |  false |          true |
| Potion Core                      | potioncore:disorganization               | effect.disorganization                  | 166 | 0x009900FF (  10027263) |   true |         false |
| Potion Core                      | potioncore:dispel                        | effect.dispel                           | 180 | 0x00990099 (  10027161) |   true |         false |
| Potion Core                      | potioncore:drown                         | effect.drown                            | 165 | 0x0000FFFF (     65535) |   true |         false |
| Potion Core                      | potioncore:explode                       | effect.explode                          | 171 | 0x00333333 (   3355443) |   true |         false |
| Potion Core                      | potioncore:extension                     | effect.extension                        | 153 | 0x00990099 (  10027161) |  false |          true |
| Potion Core                      | potioncore:fire                          | effect.fire                             | 173 | 0x00FF5500 (  16733440) |   true |         false |
| Potion Core                      | potioncore:flight                        | effect.flight                           | 152 | 0x005599FF (   5609983) |  false |          true |
| Potion Core                      | potioncore:invert                        | effect.invert                           | 177 | 0x0099FF99 (  10092441) |   true |         false |
| Potion Core                      | potioncore:iron_skin                     | effect.iron_skin                        | 156 | 0x00C7C7C7 (  13092807) |  false |          true |
| Potion Core                      | potioncore:klutz                         | effect.klutz                            | 182 | 0x00999933 (  10066227) |   true |         false |
| Potion Core                      | potioncore:launch                        | effect.launch                           | 179 | 0x0000FF00 (     65280) |   true |         false |
| Potion Core                      | potioncore:lightning                     | effect.lightning                        | 174 | 0x00FFFF00 (  16776960) |   true |         false |
| Potion Core                      | potioncore:love                          | effect.love                             | 150 | 0x00FF3333 (  16724787) |  false |          true |
| Potion Core                      | potioncore:magic_focus                   | effect.magic_focus                      | 162 | 0x00E69FFF (  15114239) |  false |          true |
| Potion Core                      | potioncore:magic_inhibition              | effect.magic_inhibition                 | 175 | 0x00A57EB3 (  10845875) |   true |         false |
| Potion Core                      | potioncore:magic_shield                  | effect.magic_shield                     | 185 | 0x00FF46AA (  16729770) |  false |          true |
| Potion Core                      | potioncore:perplexity                    | effect.perplexity                       | 168 | 0x009900FF (  10027263) |   true |         false |
| Potion Core                      | potioncore:purity                        | effect.purity                           | 157 | 0x00FFFFFF (  16777215) |  false |          true |
| Potion Core                      | potioncore:reach                         | effect.reach                            | 158 | 0x00C83264 (  13120100) |  false |          true |
| Potion Core                      | potioncore:recoil                        | effect.recoil                           | 154 | 0x00008822 (     34850) |  false |          true |
| Potion Core                      | potioncore:repair                        | effect.repair                           | 151 | 0x00777777 (   7829367) |  false |          true |
| Potion Core                      | potioncore:revival                       | effect.revival                          | 181 | 0x00FF0000 (  16711680) |  false |          true |
| Potion Core                      | potioncore:rust                          | effect.rust                             | 169 | 0x00773300 (   7811840) |   true |         false |
| Potion Core                      | potioncore:slow_fall                     | effect.slow_fall                        | 186 | 0x00FFFFCC (  16777164) |  false |          true |
| Potion Core                      | potioncore:solid_core                    | effect.solid_core                       | 172 | 0x00222222 (   2236962) |  false |          true |
| Potion Core                      | potioncore:spin                          | effect.spin                             | 188 | 0x0099CC00 (  10079232) |   true |         false |
| Potion Core                      | potioncore:step_up                       | effect.step_up                          | 164 | 0x0033CC33 (   3394611) |  false |          true |
| Potion Core                      | potioncore:teleport                      | effect.teleport                         | 160 | 0x0000CC99 (     52377) |   true |         false |
| Potion Core                      | potioncore:teleport_surface              | effect.teleport_surface                 | 161 | 0x0000FF99 (     65433) |  false |          true |
| Potion Core                      | potioncore:vulnerable                    | effect.vulnerable                       | 170 | 0x00557700 (   5601024) |   true |         false |
| Potion Core                      | potioncore:weight                        | effect.weight                           | 178 | 0x00555555 (   5592405) |   true |         false |
| Pyrotech                         | pyrotech:comfort                         | pyrotech.effect.comfort                 | 192 | 0xFF000000 ( -16777216) |  false |          true |
| Pyrotech                         | pyrotech:focused                         | pyrotech.effect.focused                 | 196 | 0xFF000000 ( -16777216) |  false |          true |
| Pyrotech                         | pyrotech:resting                         | pyrotech.effect.resting                 | 194 | 0xFF000000 ( -16777216) |  false |          true |
| Pyrotech                         | pyrotech:well_fed                        | pyrotech.effect.well.fed                | 193 | 0xFF000000 ( -16777216) |  false |          true |
| Pyrotech                         | pyrotech:well_rested                     | pyrotech.effect.well.rested             | 195 | 0xFF000000 ( -16777216) |  false |          true |
| Quark                            | quark:black                              | quark.potion.black.name                 |  67 | 0x00303030 (   3158064) |   true |         false |
| Quark                            | quark:blue                               | quark.potion.blue.name                  |  66 | 0x000000FF (       255) |   true |         false |
| Quark                            | quark:curse                              | quark.potion.curse.name                 |  70 | 0x00000000 (         0) |   true |         false |
| Quark                            | quark:danger_sight                       | quark.potion.danger_sight.name          |  71 | 0x0008C8E3 (    575715) |  false |          true |
| Quark                            | quark:resilience                         | quark.potion.resilience.name            |  69 | 0x005B1A04 (   5970436) |  false |         false |
