+------------------------------------------------------------+------+
| Registry name                                              |   ID |
+------------------------------------------------------------+------+
| aether_legacy:achievement                                  | 2077 |
| aether_legacy:achievement_bronze                           | 2078 |
| aether_legacy:achievement_silver                           | 2079 |
| aether_legacy:aeboss.slider.awaken                         | 2065 |
| aether_legacy:aeboss.slider.collide                        | 2066 |
| aether_legacy:aeboss.slider.death                          | 2068 |
| aether_legacy:aeboss.slider.move                           | 2067 |
| aether_legacy:aeboss.sun_spirit.shoot                      | 2069 |
| aether_legacy:aemisc.aether_portal.idle                    | 2076 |
| aether_legacy:aemob.aerbunny.death                         | 2059 |
| aether_legacy:aemob.aerbunny.hurt                          | 2058 |
| aether_legacy:aemob.aerbunny.lift                          | 2060 |
| aether_legacy:aemob.aerwhale.call                          | 2061 |
| aether_legacy:aemob.aerwhale.death                         | 2062 |
| aether_legacy:aemob.flyingcow.death                        | 2054 |
| aether_legacy:aemob.flyingcow.hurt                         | 2053 |
| aether_legacy:aemob.flyingcow.say                          | 2052 |
| aether_legacy:aemob.moa.flap                               | 2048 |
| aether_legacy:aemob.moa.say                                | 2047 |
| aether_legacy:aemob.phyg.death                             | 2057 |
| aether_legacy:aemob.phyg.hurt                              | 2056 |
| aether_legacy:aemob.phyg.say                               | 2055 |
| aether_legacy:aemob.sheepuff.death                         | 2051 |
| aether_legacy:aemob.sheepuff.hurt                          | 2050 |
| aether_legacy:aemob.sheepuff.say                           | 2049 |
| aether_legacy:aemob.zephyr.call                            | 2063 |
| aether_legacy:aemob.zephyr.shoot                           | 2064 |
| aether_legacy:music.aether1                                | 2080 |
| aether_legacy:music.aether2                                | 2081 |
| aether_legacy:music.aether3                                | 2082 |
| aether_legacy:music.aether4                                | 2083 |
| aether_legacy:music.menu                                   | 2084 |
| aether_legacy:projectile.dart_shooter.shoot                | 2071 |
| aether_legacy:projectile.shoot                             | 2070 |
| aether_legacy:records.aether_tune                          | 2072 |
| aether_legacy:records.ascending_dawn                       | 2073 |
| aether_legacy:records.legacy                               | 2075 |
| aether_legacy:records.welcoming_skies                      | 2074 |
| ancientbeasts:damcell_close                                |  743 |
| ancientbeasts:damcell_death                                |  741 |
| ancientbeasts:damcell_hurt                                 |  740 |
| ancientbeasts:damcell_idle                                 |  739 |
| ancientbeasts:damcell_open                                 |  742 |
| ancientbeasts:damcell_shoot                                |  744 |
| ancientbeasts:frostash_fox_bite                            |  722 |
| ancientbeasts:frostash_fox_death                           |  721 |
| ancientbeasts:frostash_fox_eat                             |  723 |
| ancientbeasts:frostash_fox_hurt                            |  724 |
| ancientbeasts:frostash_fox_idle                            |  720 |
| ancientbeasts:frostash_fox_screech                         |  725 |
| ancientbeasts:frostash_fox_sleep                           |  726 |
| ancientbeasts:frostwalker_death                            |  730 |
| ancientbeasts:frostwalker_hurt                             |  729 |
| ancientbeasts:frostwalker_ice                              |  731 |
| ancientbeasts:frostwalker_idle                             |  728 |
| ancientbeasts:ghost_ambient                                |  716 |
| ancientbeasts:ghost_death                                  |  718 |
| ancientbeasts:ghost_hurt                                   |  717 |
| ancientbeasts:ghost_possess                                |  719 |
| ancientbeasts:heckhound_charge                             |  747 |
| ancientbeasts:heckhound_death                              |  748 |
| ancientbeasts:heckhound_hurt                               |  749 |
| ancientbeasts:heckhound_idle                               |  750 |
| ancientbeasts:ice                                          |  727 |
| ancientbeasts:little_vessel_activate                       |  737 |
| ancientbeasts:little_vessel_deactivate                     |  738 |
| ancientbeasts:little_vessel_death                          |  736 |
| ancientbeasts:little_vessel_hurt                           |  735 |
| ancientbeasts:owlstack_death                               |  753 |
| ancientbeasts:owlstack_hurt                                |  752 |
| ancientbeasts:owlstack_idle                                |  751 |
| ancientbeasts:owlstack_screech                             |  754 |
| ancientbeasts:sandmonster_ambient                          |  710 |
| ancientbeasts:sandmonster_death                            |  712 |
| ancientbeasts:sandmonster_hurt                             |  711 |
| ancientbeasts:tornado_ambient                              |  709 |
| ancientbeasts:trap_activate                                |  745 |
| ancientbeasts:trap_deactivate                              |  746 |
| ancientbeasts:vessel_death                                 |  734 |
| ancientbeasts:vessel_hurt                                  |  733 |
| ancientbeasts:vessel_idle                                  |  732 |
| ancientbeasts:zealot_ambient                               |  713 |
